type,date time,latitude,longitude,accuracy(m),altitude(m),geoid_height(m),speed(m/s),bearing(deg),sat_used,sat_inview,name,desc
T,2023-02-23 07:36:13.999,46.80219753,8.27843991,128.00,1087.092,,0.000,,4,4,20230223-083613,GPS Logger: 20230223-083613 - Track5
T,2023-02-23 07:36:14.999,46.80232734,8.27830446,128.00,1064.623,,0.000,,4,4,,
T,2023-02-23 07:36:15.999,46.80241137,8.27820872,128.00,1051.488,,0.000,,4,4,,
T,2023-02-23 07:36:16.999,46.80242486,8.27818186,128.00,1051.486,,,,,5,,
T,2023-02-23 07:36:20.999,46.80253058,8.27804735,128.00,1039.962,,0.000,,5,5,,
T,2023-02-23 07:36:21.999,46.80251594,8.27807331,128.00,1047.445,,0.000,,5,6,,
T,2023-02-23 07:36:22.999,46.80241395,8.27819760,128.00,1079.712,,0.000,,6,6,,
T,2023-02-23 07:36:23.999,46.80233927,8.27827150,128.00,1097.507,,0.000,,6,6,,
T,2023-02-23 07:36:24.999,46.80231237,8.27826164,96.00,1088.583,,0.000,,6,6,,
T,2023-02-23 07:36:25.999,46.80228767,8.27823507,96.00,1076.118,,0.000,,6,6,,
T,2023-02-23 07:36:26.999,46.80230102,8.27818581,96.00,1069.226,,0.000,,6,6,,
T,2023-02-23 07:36:27.999,46.80231526,8.27814697,128.00,1062.505,,0.000,,6,6,,
T,2023-02-23 07:36:28.999,46.80234432,8.27811898,128.00,1058.365,,0.000,,5,6,,
T,2023-02-23 07:36:29.999,46.80237604,8.27809859,96.00,1058.016,,0.000,,6,6,,
T,2023-02-23 07:36:30.999,46.80240292,8.27806211,128.00,1056.771,,0.000,,6,6,,
T,2023-02-23 07:36:31.999,46.80242670,8.27800901,128.00,1054.049,,0.000,,6,6,,
T,2023-02-23 07:36:32.999,46.80247724,8.27794726,96.00,1047.866,,0.000,,6,6,,
T,2023-02-23 07:36:33.999,46.80249733,8.27791465,96.00,1045.777,,0.000,,6,6,,
T,2023-02-23 07:36:34.999,46.80251467,8.27788924,96.00,1044.009,,0.000,,6,6,,
T,2023-02-23 07:36:35.999,46.80251374,8.27788867,128.00,1044.556,,0.000,,6,6,,
T,2023-02-23 07:36:36.999,46.80251713,8.27787887,128.00,1045.408,,0.000,,6,6,,
T,2023-02-23 07:36:37.999,46.80253128,8.27786602,128.00,1043.965,,0.000,,6,6,,
T,2023-02-23 07:36:38.999,46.80255777,8.27784470,128.00,1039.909,,0.000,,6,6,,
T,2023-02-23 07:36:39.999,46.80260157,8.27779968,128.00,1032.485,,0.000,,6,6,,
T,2023-02-23 07:36:40.999,46.80262771,8.27777260,128.00,1028.516,,0.000,,6,6,,
T,2023-02-23 07:36:41.999,46.80266087,8.27774299,96.00,1021.465,,0.000,,6,6,,
T,2023-02-23 07:36:42.999,46.80268871,8.27772335,96.00,1014.359,,0.000,,6,6,,
T,2023-02-23 07:36:43.999,46.80271275,8.27771349,96.00,1010.761,,0.000,,5,6,,
T,2023-02-23 07:36:44.999,46.80273451,8.27769518,96.00,1007.169,,0.000,,6,6,,
T,2023-02-23 07:36:45.999,46.80274095,8.27769101,96.00,1007.020,,0.000,,6,6,,
T,2023-02-23 07:36:46.999,46.80275008,8.27767922,96.00,1007.101,,0.000,,6,6,,
T,2023-02-23 07:36:47.999,46.80275683,8.27766796,96.00,1008.402,,0.000,,5,6,,
T,2023-02-23 07:36:48.999,46.80275876,8.27766258,96.00,1011.202,,0.000,,6,6,,
T,2023-02-23 07:36:49.999,46.80275268,8.27767107,128.00,1014.947,,0.000,,6,6,,
T,2023-02-23 07:36:50.999,46.80273199,8.27769579,128.00,1021.243,,0.000,,6,6,,
T,2023-02-23 07:36:51.999,46.80271611,8.27771929,128.00,1026.393,,0.000,,6,6,,
T,2023-02-23 07:36:53.999,46.80275129,8.27768222,96.00,1026.855,,0.000,,6,6,,
T,2023-02-23 07:36:54.999,46.80276180,8.27767452,96.00,1026.561,,0.000,,6,6,,
T,2023-02-23 07:36:55.999,46.80277080,8.27766793,96.00,1026.437,,0.000,,6,6,,
T,2023-02-23 07:36:56.999,46.80277013,8.27766740,96.00,1027.763,,0.000,,6,6,,
T,2023-02-23 07:36:57.999,46.80278441,8.27765236,192.00,1028.604,,0.000,,6,6,,
T,2023-02-23 07:36:58.999,46.80279959,8.27763496,192.00,1028.830,,0.000,,5,6,,
T,2023-02-23 07:36:59.999,46.80280676,8.27762530,128.00,1028.677,,0.000,,6,6,,
T,2023-02-23 07:37:00.999,46.80281827,8.27761397,200.00,1029.289,,0.000,,5,6,,
T,2023-02-23 07:37:01.999,46.80282835,8.27760404,200.00,1030.038,,0.000,,5,6,,
T,2023-02-23 07:37:02.999,46.80282812,8.27760599,200.00,1033.143,,0.000,,4,6,,
T,2023-02-23 07:37:03.999,46.80283912,8.27761596,200.00,1033.144,,0.000,,4,6,,
T,2023-02-23 07:37:04.999,46.80282050,8.27763496,96.00,1034.727,,0.000,,5,6,,
T,2023-02-23 07:37:05.999,46.80281813,8.27764686,128.00,1035.677,,0.000,,5,6,,
T,2023-02-23 07:37:06.999,46.80280140,8.27767304,96.00,1037.099,,0.000,,5,6,,
T,2023-02-23 07:37:07.999,46.80278605,8.27769871,96.00,1038.032,,0.000,,5,6,,
T,2023-02-23 07:37:08.999,46.80278406,8.27771358,96.00,1038.318,,0.000,,5,6,,
T,2023-02-23 07:37:09.999,46.80278028,8.27772993,128.00,1038.830,,0.000,,5,6,,
T,2023-02-23 07:37:11.999,46.80278161,8.27776708,96.00,1039.519,,0.000,,4,6,,
T,2023-02-23 07:37:13.999,46.80278329,8.27784510,96.00,1040.670,,0.000,,4,6,,
T,2023-02-23 07:37:14.999,46.80279885,8.27785178,32.00,1040.685,,,,,6,,
T,2023-02-23 07:40:05.999,46.80105188,8.27882857,48.00,1129.057,,3.440,195,6,6,,
T,2023-02-23 07:40:06.999,46.80101170,8.27882537,48.00,1130.982,,3.342,201,6,6,,
T,2023-02-23 07:40:07.999,46.80098072,8.27881444,48.00,1131.728,,3.426,202,6,6,,
T,2023-02-23 07:40:08.999,46.80095036,8.27880290,48.00,1131.886,,3.366,203,6,6,,
T,2023-02-23 07:40:09.999,46.80091549,8.27879810,48.00,1132.128,,3.419,198,6,6,,
T,2023-02-23 07:40:10.999,46.80088024,8.27879372,32.00,1132.598,,3.456,199,6,6,,
T,2023-02-23 07:40:11.999,46.80082469,8.27880799,32.00,1137.332,,3.589,198,6,6,,
T,2023-02-23 07:40:12.999,46.80078871,8.27880733,32.00,1136.451,,3.400,199,5,6,,
T,2023-02-23 07:40:13.999,46.80075491,8.27879466,32.00,1137.613,,3.282,200,5,6,,
