type,date time,latitude,longitude,accuracy(m),altitude(m),geoid_height(m),speed(m/s),bearing(deg),sat_used,sat_inview,name,desc
T,2023-01-07 09:12:28.999,47.21565307,10.13726430,4.00,1673.487,,0.053,247,7,8,20230107-101228,GPS Logger: 20230107-101228
T,2023-01-07 09:12:29.999,47.21565174,10.13726817,4.00,1673.701,,0.150,247,7,8,,
T,2023-01-07 09:12:30.999,47.21565104,10.13727001,4.00,1673.809,,0.047,247,7,8,,
T,2023-01-07 09:12:34.999,47.21565383,10.13727008,3.00,1674.156,,0.022,247,6,8,,
T,2023-01-07 09:12:35.999,47.21565504,10.13727335,3.00,1674.280,,0.055,247,5,8,,
T,2023-01-07 09:12:36.999,47.21565499,10.13727172,3.00,1674.321,,0.050,247,8,8,,
T,2023-01-07 09:12:37.999,47.21565541,10.13727157,3.00,1674.331,,0.146,247,8,8,,
T,2023-01-07 09:12:38.999,47.21565527,10.13726983,4.00,1674.159,,0.009,247,8,8,,
T,2023-01-07 09:12:39.999,47.21565602,10.13726816,4.00,1674.246,,0.162,247,7,8,,
T,2023-01-07 09:12:40.999,47.21565432,10.13727027,4.00,1673.968,,0.138,247,5,8,,
T,2023-01-07 09:12:41.999,47.21565326,10.13727256,4.00,1673.993,,0.023,247,5,8,,
T,2023-01-07 09:12:42.999,47.21565407,10.13726940,4.00,1674.083,,0.010,247,5,8,,
T,2023-01-07 09:12:43.999,47.21565502,10.13726485,4.00,1674.260,,0.022,247,5,8,,
T,2023-01-07 09:12:44.999,47.21565428,10.13726324,4.00,1674.447,,0.045,247,6,8,,
T,2023-01-07 09:12:45.999,47.21565437,10.13726022,4.00,1674.725,,0.111,247,6,8,,
T,2023-01-07 09:12:46.999,47.21565489,10.13725678,4.00,1675.002,,0.109,247,8,8,,
T,2023-01-07 09:12:47.999,47.21565359,10.13725530,4.00,1675.116,,0.034,247,6,8,,
T,2023-01-07 09:12:48.999,47.21565391,10.13725418,4.00,1675.085,,0.039,247,7,8,,
T,2023-01-07 09:12:49.999,47.21565347,10.13725350,4.00,1675.061,,0.097,247,6,8,,
T,2023-01-07 09:12:50.999,47.21565340,10.13725314,4.00,1675.085,,0.195,247,7,8,,
T,2023-01-07 09:12:51.999,47.21565322,10.13725244,4.00,1675.332,,0.161,247,6,8,,
T,2023-01-07 09:12:52.999,47.21565328,10.13725208,4.00,1675.546,,0.051,247,8,8,,
T,2023-01-07 09:12:53.999,47.21565277,10.13725232,4.00,1675.688,,0.291,294,8,8,,
T,2023-01-07 09:12:54.999,47.21565148,10.13724449,6.00,1675.772,,0.343,229,8,8,,
T,2023-01-07 09:12:55.999,47.21564688,10.13723842,6.00,1675.617,,0.891,194,8,8,,
T,2023-01-07 09:12:56.999,47.21563695,10.13722535,6.00,1675.562,,1.256,219,8,8,,
T,2023-01-07 09:12:57.999,47.21561392,10.13721569,6.00,1675.078,,1.895,203,8,8,,
