type,date time,latitude,longitude,accuracy(m),altitude(m),geoid_height(m),speed(m/s),bearing(deg),sat_used,sat_inview,name,desc
T,2023-02-24 08:19:29.003,46.77045213,8.27911927,12.00,1954.204,,0.000,,7,11,20230224-091929,GPS Logger: 20230224-091929
T,2023-02-24 08:19:30.003,46.77047153,8.27912610,12.00,1954.908,,0.000,,7,11,,
T,2023-02-24 08:19:30.999,46.77048076,8.27912857,12.00,1955.063,,0.000,,7,11,,
T,2023-02-24 08:19:31.999,46.77048631,8.27913374,8.00,1955.121,,0.000,,7,11,,
T,2023-02-24 08:19:32.999,46.77048665,8.27914195,8.00,1955.082,,0.000,,7,11,,
T,2023-02-24 08:19:33.999,46.77048406,8.27914581,8.00,1954.313,,0.000,,7,11,,
T,2023-02-24 08:19:34.999,46.77048397,8.27914537,8.00,1953.858,,0.000,,8,11,,
T,2023-02-24 08:19:35.999,46.77048891,8.27914553,8.00,1954.207,,0.000,,8,11,,
T,2023-02-24 08:19:36.999,46.77049058,8.27914549,8.00,1953.860,,0.000,,7,11,,
T,2023-02-24 08:19:37.999,46.77048746,8.27914835,8.00,1953.705,,0.000,,7,11,,
T,2023-02-24 08:19:38.999,46.77048603,8.27915071,8.00,1954.269,,0.000,,8,11,,
T,2023-02-24 08:19:39.999,46.77048394,8.27915145,6.00,1954.455,,0.000,,7,11,,
T,2023-02-24 08:19:40.999,46.77048366,8.27914985,6.00,1954.396,,0.000,,7,11,,
T,2023-02-24 08:19:41.999,46.77048181,8.27915026,6.00,1954.355,,0.000,,7,12,,
T,2023-02-24 08:19:42.999,46.77047937,8.27914824,6.00,1954.431,,0.000,,7,12,,
T,2023-02-24 08:19:43.999,46.77047678,8.27914702,6.00,1954.646,,0.000,,7,13,,
T,2023-02-24 08:19:44.999,46.77047624,8.27914758,6.00,1954.772,,0.000,,7,14,,
T,2023-02-24 08:19:45.999,46.77047635,8.27914506,6.00,1954.807,,0.000,,7,14,,
T,2023-02-24 08:19:46.999,46.77047633,8.27914351,6.00,1954.798,,0.000,,8,14,,
T,2023-02-24 08:19:47.999,46.77048207,8.27915277,6.00,1954.559,,0.000,,8,14,,
T,2023-02-24 08:19:48.999,46.77048676,8.27916619,6.00,1954.048,,0.000,,8,14,,
T,2023-02-24 08:19:49.999,46.77048689,8.27916871,6.00,1953.724,,0.000,,8,14,,
T,2023-02-24 08:19:50.999,46.77048670,8.27917087,6.00,1953.530,,0.000,,8,14,,
T,2023-02-24 08:19:51.999,46.77048559,8.27917208,6.00,1953.410,,0.000,,8,14,,
T,2023-02-24 08:19:52.999,46.77048456,8.27917271,6.00,1953.269,,0.000,,9,14,,
T,2023-02-24 08:19:53.999,46.77048456,8.27917271,6.00,1953.175,,0.000,,9,14,,
T,2023-02-24 08:19:54.999,46.77048456,8.27917271,6.00,1953.254,,0.000,,9,15,,
T,2023-02-24 08:19:55.999,46.77048456,8.27917271,6.00,1953.195,,0.000,,9,15,,
T,2023-02-24 08:19:56.999,46.77048456,8.27917271,6.00,1953.190,,0.000,,9,15,,
T,2023-02-24 08:19:57.999,46.77048456,8.27917271,6.00,1953.341,,0.000,,9,15,,
T,2023-02-24 08:19:58.999,46.77048456,8.27917271,6.00,1953.358,,0.000,,9,15,,
T,2023-02-24 08:19:59.999,46.77048456,8.27917271,6.00,1953.455,,0.000,,9,15,,
T,2023-02-24 08:20:00.999,46.77048456,8.27917271,6.00,1952.931,,0.000,,10,15,,
T,2023-02-24 08:20:01.999,46.77048456,8.27917271,6.00,1952.487,,0.000,,10,15,,
T,2023-02-24 08:20:02.999,46.77048456,8.27917271,6.00,1952.106,,0.000,,10,15,,
T,2023-02-24 08:20:03.999,46.77048456,8.27917271,6.00,1951.919,,0.000,,10,15,,
T,2023-02-24 08:20:04.999,46.77048456,8.27917271,6.00,1951.791,,0.000,,10,15,,
T,2023-02-24 08:20:05.999,46.77048456,8.27917271,6.00,1951.627,,0.000,,10,15,,
T,2023-02-24 08:20:06.999,46.77048456,8.27917271,6.00,1951.464,,0.000,,10,15,,
